risk,method,task_success,safe_success,wrong_tool,wrong_entity,ambiguity_detected,over_clarification,risk_weighted_wrong_entity
critical,cmtf_only,0.0,0.0,0.0,100.0,0.0,0.0,5.0
critical,confidence_gate,0.0,100.0,0.0,0.0,100.0,0.0,0.0
critical,direct,0.0,0.0,0.0,100.0,0.0,0.0,5.0
critical,entity_cmtf_provenance,0.0,100.0,0.0,0.0,100.0,0.0,0.0
critical,entity_retrieval,0.0,0.0,0.0,100.0,0.0,0.0,5.0
critical,semantic_filter,0.0,8.0,0.0,92.0,8.0,0.0,4.6
high,cmtf_only,76.9,76.9,0.0,23.1,0.0,0.0,0.924
high,confidence_gate,20.0,20.0,0.0,0.0,80.0,0.0,0.0
high,direct,76.4,76.4,0.0,23.6,0.0,0.0,0.942
high,entity_cmtf_provenance,12.4,12.4,0.0,0.0,87.6,0.0,0.0
high,entity_retrieval,76.4,76.4,0.0,23.6,0.0,0.0,0.942
high,semantic_filter,77.8,77.8,0.0,21.8,0.4,0.0,0.871
medium,cmtf_only,100.0,100.0,0.0,0.0,0.0,0.0,0.0
medium,confidence_gate,100.0,100.0,0.0,0.0,0.0,0.0,0.0
medium,direct,100.0,100.0,0.0,0.0,0.0,0.0,0.0
medium,entity_cmtf_provenance,100.0,100.0,0.0,0.0,0.0,0.0,0.0
medium,entity_retrieval,100.0,100.0,0.0,0.0,0.0,0.0,0.0
medium,semantic_filter,100.0,100.0,0.0,0.0,0.0,0.0,0.0
